ID,제목,내용,카테고리,서브카테고리,캠퍼스,등록자,등록일,수정자,수정일
regulations_24,제80조(산학협력단),"【1항】 본교에 '산업 교육진흥 및 산학협동촉진에 관한 법률' 제25조에서 규정한 산학협력단을 설치한다.

【2항】 산학협력단은 본교 산하 별도 법인으로 설립하며, 관련법령이 정하는 업무를 수행한다.

【3항】 산학협력단의 운영에 관한 사항은 따로 정한다.",학칙,,,,,,
regulations_25,제35조(졸업논문),"【1항】 졸업예정자는 졸업논문을 제출하여야 한다. 다만, 졸업논문의 제출이 부적당한 경우에는 졸업종합시험으로 대체할 수 있다.

【2항】 계약학과는 졸업논문 등의 시행에서 제외함을 원칙으로 한다.",학칙,,,,,,
regulations_26,제18조(소속변경),"【1항】 소속변경(전과/전부)은 학과(학부) 모집정원 범위 내에서 여석이 있을 때에 한하여 허가할 수 있다.

【2항】 소속변경은 대학 내에서 허용한다.

【3항】 이에 대한 세부사항은 총장이 따로 정한다.",학칙,,,,,,
regulations_27,제62조(외국인학생의교육이수인정),"【1항】 제61조에 따라 외국인으로 입학한 학생을 위하여 별도의 교육과정을 개설할 수 있으며, 교육이수 정도에 따라 수료증을 수여할 수 있다.

【2항】 외국인 학생의 관리에 필요한 사항은 이를 따로 정한다.",학칙,,,,,,
regulations_28,제46조(수험자격),"각 교과목의 매 학기 수업시간의 15주 기준 3주 이상 결석한 자는 해당과목의 수험자격을 상실한다. 단, 질병, 학기 중 취업, 기타 부득이한 사유로 인한 경우는 예외로 한다.",학칙,,,,,,
regulations_29,제11조(입학자격),"본교 제1학년에 입학할 수 있는 자는 다음 각 호에 해당하는 자이어야 한다. 1. 고등학교 졸업자 및 졸업예정자(졸업예정일에 졸업하지 못하면 입학이 취소된다), 2. 그 밖의 법령 또는 교육부장관에 의하여 전각 호의 해당자와 동등한 자격이 있다고 인정된 자. 다만, 의과대학 의학과는 의예과 수료자 또는 동등한 수준 이상의 학력이 있다고 인정되는 자",학칙,,,,,,
regulations_30,제66조(교수회의구성),교수회는 본교 조교수 이상의 전임교원으로 구성한다.,학칙,,,,,,
regulations_31,제53조(입학금),"【1항】 입학 및 편입학이 허락된 자는 지정된 기간 내에 정해진 입학금을 내야 한다.

【2항】 재입학이 허락된 자는 정해진 등록금 외에 해당 학년도 신입생 입학금을 기준으로 재입학금을 가산하여 내야 한다.",학칙,,,,,,
regulations_32,제85조(현장실습학점등의 인정),"【1항】 학교기업에서의 현장실습은 총 16학점까지 인정할 수 있다.

【2항】 학교기업에서의 현장실습교육을 1개 학기 30시간 이수한 경우 이를 1학점으로 인정한다.",학칙,,,,,,
regulations_33,제43조(비정규특별과정),"【1항】 본교에서는 대학에 설치된 학과와 유사한 분야에 한하여 1년 미만의 비정규특별과정을 설치·운영할 수 있다.

【2항】 비정규특별과정 운영에 필요한 사항은 세칙으로 정한다.",학칙,,,,,,
regulations_34,제67조(교수회의소집),"【1항】 전체 교수회 및 캠퍼스 교수회는 총장이 이를 소집하고 대학별 교수회는 학장이 소집하며 각각 그 의장이 된다. 다만, 총장 및 학장이 궐위 시에는 부총장 및 부학장이 대신할 수 있다.

【2항】 각 교수회는 구성교수 1/3 이상의 소집요구가 있을 경우 총장 및 학장이 소집하고 재직교수 과반수의 출석으로 개최한다.

【3항】 총장은 대학별 교수회에 참석할 수 있다.",학칙,,,,,,
regulations_35,제37조의2(삭제),삭제,학칙,,,,,,
regulations_36,제27조(교과목이수단위),"교과목의 이수단위는 학점단위로 하되, 1학기 15시간 이상의 강의를 1학점으로 하고(단, 0.5학점 교과목의 경우 7.5시간 이상을 강의한다) 실험, 실습, 실기, 체육 등은 1학기 30시간 이상의 교육을 1학점으로 한다. 다만, 의과대학 의예과 및 의학과는 따로 정한다.",학칙,,,,,,
regulations_37,제32조(낙제된과목의 이수),"낙제된 교과목이 필수과목인 경우에는 동일 교과목을 재수강하여야 한다. 다만, 교육과정 변경 등으로 해당 과목을 재수강할 수 없는 경우는 별도의 지침에 정한다.",학칙,,,,,,
regulations_38,제52조(시행세칙),상벌에 관한 세부사항은 따로 정한다.,학칙,,,,,,
regulations_39,제40조의2(학사학위취득유예),"학사과정의 학생은 졸업학점요건이 충족되어도 취업, 졸업인증제 등을 사유로 본인이 희망하는 경우 1년 이내의 범위 안에서 학사학위취득을 유예할 수 있다.",학칙,,,,,,
regulations_40,제61조(외국인학생의입학 및 편입학),"【1항】 외국인으로서 제6장 입학의 규정에 의하지 않고 입학을 희망하는 경우에는 수업에 지장이 없는 한 별도의 전형을 거쳐 정원 외로 입학을 허가할 수 있다.

【2항】 외국인 학생으로서 대학의 편입학 자격이 인정된 자는 심사를 거친 후 해당 학년에 편입학할 수 있다.",학칙,,,,,,
regulations_41,제23조(자퇴),자퇴하고자 하는 자는 보호자가 연서한 사유서를 첨부하여 정해진 양식의 자퇴원을 제출하며 소속 대학장을 거친 후 총장의 허가를 받아야 한다.,학칙,,,,,,
regulations_42,제57조(등록금의면제),"총장은 품행이 방정하고 학업성적이 특히 우수하거나, 가계곤란자에 대하여는 등록금의 전부 또는 일부를 면제할 수 있다.",학칙,,,,,,
regulations_43,제60조(위탁생의제적),위탁생이 재학 중 그 소속기관의 직을 사임하였을 경우에는 이를 즉시 교무혁신처에 신고하고 자퇴하여야 한다. 만약 소속기관을 사임하였음에도 그 사실을 신고하지 않을 경우에는 제적하고 졸업한 경우에는 졸업이 취소된다.,학칙,,,,,,
regulations_44,제79조(부설기관),"【1항】 본교에 평생교육원, 을지아동발달센터, 을지인력개발원, 교육개발연구센터, 임상수기훈련센터 및 각종 연구소 등의 부설기관을 둔다.

【2항】 (삭제)

【3항】 전항의 각 부설기관의 운영에 필요한 규정은 별도로 정한다.",학칙,,,,,,
