ID,제목,내용,카테고리,서브카테고리,캠퍼스,등록자,등록일,수정자,수정일
학칙_대학_157,2항,외국인 학생으로서 대학의 편입학 자격이 인정된 자는 심사를 거친 후 해당 학년에 편입학할 수 있다.,학칙_대학 > 학칙 > 제15장 위탁생 및 외국인학생 > 제61조(외국인학생의 입학 및 편입학),,,,,,
학칙_대학_158,1항,"제61조에 따라 외국인으로 입학한 학생을 위하여 별도의 교육과정을 개설할 수 있으며, 교육이수 정도에 따라 수료증을 수여할 수 있다.",학칙_대학 > 학칙 > 제15장 위탁생 및 외국인학생 > 제62조(외국인학생의 교육이수인정),,,,,,
학칙_대학_159,2항,외국인 학생의 관리에 필요한 사항은 이를 따로 정한다.,학칙_대학 > 학칙 > 제15장 위탁생 및 외국인학생 > 제62조(외국인학생의 교육이수인정),,,,,,
학칙_대학_160,1항,"본교에서 직무, 교양 또는 특수목적의 연구상 필요한 학술이론과 기술의 습득을 희망하는 자를 지도하기 위하여 공개강좌를 개설할 수 있다.",학칙_대학 > 학칙 > 제16장 공개강좌 > 제63조(공개강좌),,,,,,
학칙_대학_161,2항,"공개강좌의 과목, 제목, 기간, 수강자격, 정원, 개설 장소 및 그 밖의 필요한 사항은 총장이 따로 정한다.",학칙_대학 > 학칙 > 제16장 공개강좌 > 제63조(공개강좌),,,,,,
학칙_대학_162,제64조(직제),"본교의 직제 및 조직은 관계법령, 정관이 정하는 바 외에는 총장이 별도로 정한다.",학칙_대학 > 학칙 > 제17장 직제 및 조직,,,,,,
학칙_대학_163,제65조(교수회),"본교 교육에 관한 중요 사항을 심의하기 위하여 전체 교수회, 캠퍼스 교수회 및 대학별 교수회를 둔다.",학칙_대학 > 학칙 > 제18장 교수회와 교무위원회,,,,,,
학칙_대학_164,제66조(교수회의 구성),교수회는 본교 조교수 이상의 전임교원으로 구성한다.,학칙_대학 > 학칙 > 제18장 교수회와 교무위원회,,,,,,
학칙_대학_165,1항,"전체 교수회 및 캠퍼스 교수회는 총장이 이를 소집하고 대학별 교수회는 학장이 소집하며 각각 그 의장이 된다. 다만, 총장 및 학장이 궐위 시에는 부총장 및 부학장이 대신할 수 있다.",학칙_대학 > 학칙 > 제18장 교수회와 교무위원회 > 제67조(교수회의 소집),,,,,,
학칙_대학_166,2항,각 교수회는 구성교수 1/3 이상의 소집요구가 있을 경우 총장 및 학장이 소집하고 재직교수 과반수의 출석으로 개최한다.,학칙_대학 > 학칙 > 제18장 교수회와 교무위원회 > 제67조(교수회의 소집),,,,,,
학칙_대학_167,3항,총장은 대학별 교수회에 참석할 수 있다.,학칙_대학 > 학칙 > 제18장 교수회와 교무위원회 > 제67조(교수회의 소집),,,,,,
